collection_year,collection_label,survey,table_name,table_title,release,url
2014,201415,Institutional Characteristics,HD2014,Directory information,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/HD2014.zip
2014,201415,Institutional Characteristics,FLAGS2014,Response status for all survey components,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/FLAGS2014.zip
2014,201415,Institutional Characteristics,IC2014,"Educational offerings, organization, admissions, services and athletic associations",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/IC2014.zip
2014,201415,Institutional Characteristics,IC2014_AY,Student charges for academic year programs,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2014_AY.zip
2014,201415,Institutional Characteristics,IC2014_PY,Student charges by program (vocational programs),Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/IC2014_PY.zip
2014,201415,Institutional Characteristics,DRVIC2014,Frequently used derived variables (IC): Total cost of attendance,Provisional (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/DRVIC2014.zip
2014,201415,Institutional Characteristics,IC2014MISSION,Mission statement,Provisional,https://nces.ed.gov/ipeds/datacenter/data/IC2014MISSION.zip
2014,201415,Institutional Characteristics,CUSTOMCGIDS2014,Custom comparison groups,Provisional/final (institutions will not  be allowed to revise these data),https://nces.ed.gov/ipeds/datacenter/data/CUSTOMCGIDS2014.zip
2014,201415,Fall Enrollment,EF2014,"Gender, attendance status, and level of student: Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014.zip
2014,201415,Fall Enrollment,EF2014A,"Race/ethnicity, gender, attendance status, and level of student: Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014A.zip
2014,201415,Fall Enrollment,EF2014CP,"Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014CP.zip
2014,201415,Fall Enrollment,EF2014B,"Age category, gender, attendance status, and level of student: Fall 2014 (optional)",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014B.zip
2014,201415,Fall Enrollment,EF2014C,Residence and migration of first-time freshman: Fall 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014C.zip
2014,201415,Fall Enrollment,EF2014D,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014D.zip
2014,201415,Fall Enrollment,EF2014A_DIST,Distance education status and level of student: Fall 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EF2014A_DIST.zip
2014,201415,Fall Enrollment,DRVEF2014,Frequently used derived variables (EF): Fall enrollment 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVEF2014.zip
2014,201415,Completions,C2014_A,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2013 to June 30, 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/C2014_A.zip
2014,201415,Completions,C2014_B,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2013 to June 30, 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/C2014_B.zip
2014,201415,Completions,C2014_C,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2013 to June 30, 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/C2014_C.zip
2014,201415,Completions,C2014DEP,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2013 to June 30, 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/C2014DEP.zip
2014,201415,Completions,DRVC2014,"Frequently used derived variables (C): Completions, July 1, 2013 to June 30, 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVC2014.zip
2014,201415,Finance,F1314_F1A,Public institutions - GASB 34/35: Fiscal year 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/F1314_F1A.zip
2014,201415,Finance,F1314_F2,Private not-for-profit institutions or Public institutions using FASB: Fiscal year 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/F1314_F2.zip
2014,201415,Finance,F1314_F3,Private for-profit institutions: Fiscal year 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/F1314_F3.zip
2014,201415,Finance,DRVF2014,Frequently used/derived variables Finance (F): Fiscal year 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVF2014.zip
2014,201415,Student Financial Aid,SFA1314_P1,Student financial aid: 2013-14,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/SFA1314_P1.zip
2014,201415,Student Financial Aid,SFA1314_P2,"Student financial aid and net price: 2011-12, 2012-13, and 2013-14",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/SFA1314_P2.zip
2014,201415,Student Financial Aid,SFAV1314,"Military Servicemembers and Veteran's Benefits, 2013-14",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/SFAV1314.zip
2014,201415,Graduation Rates,GR2014,"Graduation rate data, 150% of normal time to complete - cohort year 2008 (4-year) and cohort year 2011 (2-year) institutions",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/GR2014.zip
2014,201415,Graduation Rates,GR2014_L2,"Graduation rate data, 150% of normal time to complete - cohort year 2011 (less-than-2-year institutions)",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/GR2014_L2.zip
2014,201415,Graduation Rates,GR200_14,"Graduation rate data, 200% of normal time to complete - cohort year 2006  (4-year) and cohort year 2010 (less-than-4-year)  institutions",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/GR200_14.zip
2014,201415,Graduation Rates,DRVGR2014,Frequently used derived variables (GR) 150% of normal time to complete - cohort year 2008 (4-year) and cohort year 2011 (2-year) institutions,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVGR2014.zip
2014,201415,Human Resources,EAP2014,"Number of staff by occupational category, faculty and tenure status:  Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/EAP2014.zip
2014,201415,Human Resources,SAL2014_IS,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2014-15",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/SAL2014_IS.zip
2014,201415,Human Resources,SAL2014_NIS,Number and salary outlays for full-time nonmedical  noninstructional staff by occupation: Academic year 2014-15,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/SAL2014_NIS.zip
2014,201415,Human Resources,S2014_OC,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/S2014_OC.zip
2014,201415,Human Resources,S2014_SIS,"Full-time instructional staff, by academic rank, faculty and tenure status  (Degree-granting institutions): Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/S2014_SIS.zip
2014,201415,Human Resources,S2014_IS,"Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender (Degree-granting institutions): Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/S2014_IS.zip
2014,201415,Human Resources,S2014_NH,"New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2014",Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/S2014_NH.zip
2014,201415,Human Resources,DRVHR2014,Frequently used/derived variables Human resources (HR): Fall 2014,Final/Revised,https://nces.ed.gov/ipeds/datacenter/data/DRVHR2014.zip
